"Tx & Rx configuration: _04.r004.  Date: November 7, 2018, 12:00:00",,,
TX ID,Rx ID,<Distance(m)>,<Power(dBm)>
26,15,72.6061,-64.8972
26,16,88.5613,-67.2201
26,17,110.194,-76.871
26,18,134.719,-66.2307
26,19,47.0278,-69.0862
26,20,36.8126,-59.7338
26,21,47.0956,-57.7133
26,22,69.1914,-66.4015
26,23,95.2252,-70.3435
26,24,122.762,-69.5653
26,25,29.3569,-48.1304
26,27,29.2571,-58.804
26,28,58.481,-80.9004
26,29,87.7714,-66.3696
26,30,117.029,-78.7742
27,1,129.584,-63.8006
27,2,119.266,-74.3823
27,3,115.763,-75.8356
27,4,119.548,-61.1706
27,5,129.979,-67.5772
27,6,145.56,-74.3048
27,7,108.419,-70.8419
27,8,95.8612,-64.9474
27,9,91.3659,-57.9452
27,10,96.0742,-68.7641
27,11,108.704,-70.4128
27,12,126.912,-73.5818
27,13,88.4438,-74.2323
27,14,72.4808,-67.2219
27,15,66.3692,-61.4418
27,16,72.5963,-77.3942
27,17,88.6333,-69.1368
27,18,110.22,-63.5396
27,19,69.1552,-68.0986
27,20,46.9915,-59.1019
27,21,36.8126,-58.4103
27,22,47.0804,-61.3238
27,23,69.1737,-57.1962
27,24,95.2559,-64.1793
27,25,58.614,-65.9567
27,26,29.2571,-57.2217
27,28,29.2238,-57.7519
27,29,58.5142,-71.3419
27,30,87.7715,-82.0924
28,1,145.129,-73.7868
28,2,129.534,-63.0943
28,3,119.331,-66.5465
28,4,115.863,-72.8013
28,5,119.653,-67.0236
28,6,130.008,-70.1242
28,7,126.595,-67.0562
28,8,108.375,-68.0196
28,9,95.8725,-79.7884
28,10,91.4657,-62.0249
28,11,96.1261,-66.9551
28,12,108.721,-69.8776
28,13,109.979,-70.741
28,14,88.3997,-73.634
28,15,72.444,-58.7066
28,16,66.4025,-67.9514
28,17,72.684,-65.4421
28,18,88.6772,-63.1571
28,19,95.1808,-66.7328
28,20,69.06,-60.4024
28,21,46.9293,-53.769
28,22,36.8459,-58.6555
28,23,47.0749,-57.1201
28,24,69.23,-63.6723
28,25,87.8379,-70.0376
28,26,58.481,-72.0607
28,27,29.2238,-63.5164
28,29,29.2904,-58.9717
28,30,58.5476,-65.1841
29,1,164.487,-71.6444
29,2,145.097,-72.754
29,3,129.593,-61.4249
29,4,119.452,-64.806
29,5,115.963,-68.4561
29,6,119.669,-80.0359
29,7,148.397,-64.446
29,8,126.573,-82.3617
29,9,108.403,-86.3951
29,10,95.9879,-59.9853
29,11,91.499,-68.8071
29,12,96.116,-66.7944
29,13,134.506,-72.654
29,14,109.979,-61.5575
29,15,88.3585,-60.956
29,16,72.5281,-70.4312
29,17,66.4691,-64.1864
29,18,72.684,-53.8991
29,19,122.719,-69.3745
29,20,95.1322,-64.6425
29,21,69.0318,-67.2012
29,22,47.0175,-59.2127
29,23,36.8126,-61.2805
29,24,47.0749,-57.9531
29,25,117.128,-79.9564
29,26,87.7714,-65.7799
29,27,58.5142,-65.7857
29,28,29.2904,-54.98
29,30,29.2572,-57.6566
30,1,186.409,-87.8938
30,2,164.401,-73.6101
30,3,145.09,-69.8226
30,4,129.682,-65.2756
30,5,119.516,-61.6479
30,6,115.963,-75.6533
30,7,172.386,-81.2057
30,8,148.318,-67.3085
30,9,126.55,-66.3142
30,10,108.477,-73.514
30,11,95.9777,-59.0916
30,12,91.4657,-72.0898
30,13,160.594,-74.9705
30,14,134.461,-67.1544
30,15,109.872,-70.1797
30,16,88.4246,-63.7536
30,17,72.5451,-66.9023
30,18,66.4358,-66.8372
30,19,150.878,-74.6352
30,20,122.624,-70.6955
30,21,95.0579,-66.3647
30,22,69.0882,-70.248
30,23,46.9654,-69.8422
30,24,36.7793,-61.3135
30,25,146.385,-75.5411
30,26,117.029,-73.4719
30,27,87.7715,-72.1448
30,28,58.5476,-63.0944
30,29,29.2572,-62.8193
